Id,Label
Matthos-Seaworth,Matthos Seaworth
Robett-Glover,Robett Glover
Sybell-Spicer,Sybell Spicer
Eustace-Brune,Eustace Brune
Hugh-Hungerford,Hugh Hungerford
Mag-Mar-Tun-Doh-Weg,Mag Mar Tun Doh Weg
Lothor-Brune,Lothor Brune
Nymeria-Sand,Nymeria Sand
Squint,Squint
Jommo,Jommo
Ogo,Ogo
Rhaego,Rhaego
Stonesnake,Stonesnake
High-Septon-(fat_one),High Septon (fat_one)
Jacks,Jacks
Joss,Joss
Maron-Greyjoy,Maron Greyjoy
Porther,Porther
Raymun-Darry,Raymun Darry
Tobho-Mott,Tobho Mott
Tregar,Tregar
Varly,Varly
Willam-Dustin,Willam Dustin
Wyl-(guard),Wyl (guard)
Wylla,Wylla
Emmett,Emmett
Watt,Watt
Forley-Prester,Forley Prester
Walder-Rivers,Walder Rivers
Steffon-Varner,Steffon Varner
Hop-Robin,Hop Robin
Genna-Lannister,Genna Lannister
Grigg,Grigg
Styr,Styr
Hotho-Harlaw,Hotho Harlaw
Humfrey-Hewett,Humfrey Hewett
Nute,Nute
Quellon-Greyjoy,Quellon Greyjoy
Sawane-Botley,Sawane Botley
Jonquil,Jonquil
Holly,Holly
Will-(prologue),Will (prologue)
Murch,Murch
Leonette-Fossoway,Leonette Fossoway
Hairy-Hal,Hairy Hal
Gorne,Gorne
Merrit,Merrit
Terrance-Lynderly,Terrance Lynderly
Oswell-Whent,Oswell Whent
Raymun-Redbeard,Raymun Redbeard
Kojja-Mo,Kojja Mo
Walgrave,Walgrave
Kegs,Kegs
Todder,Todder
Jarl,Jarl
Lorren,Lorren
Leathers,Leathers
Rory,Rory
Spare-Boot,Spare Boot
Rattleshirt,Rattleshirt
Weeper,Weeper
Myles-Toyne,Myles Toyne
Marghaz-zo-Loraq,Marghaz zo Loraq
Horas-Redwyne,Horas Redwyne
Rowan,Rowan
Mebble,Mebble
Sigfryd-Harlaw,Sigfryd Harlaw
Jonos-Bracken,Jonos Bracken
Josmyn-Peckledon,Josmyn Peckledon
Joy-Hill,Joy Hill
Lewys-Piper,Lewys Piper
Pia,Pia
Rennifer-Longwaters,Rennifer Longwaters
Ronnet-Connington,Ronnet Connington
Shitmouth,Shitmouth
Tysha,Tysha
Urswyck,Urswyck
Wylis-Manderly,Wylis Manderly
Zollo,Zollo
Rhaegar-Frey,Rhaegar Frey
Ottyn-Wythers,Ottyn Wythers
Squirrel,Squirrel
Nyessos-Vhassar,Nyessos Vhassar
Matthar,Matthar
Orell,Orell
Othor,Othor
Patrek-of-Kings-Mountain,Patrek of Kings Mountain
Ryk,Ryk
Soren-Shieldbreaker,Soren Shieldbreaker
Tom-Barleycorn,Tom Barleycorn
Toregg,Toregg
Ulmer,Ulmer
Wun-Weg-Wun-Dar-Wun,Wun Weg Wun Dar Wun
Zei,Zei
Jon-Umber-(Smalljon),Jon Umber (Smalljon)
Robin-Flint,Robin Flint
Nurse,Nurse
Richard-Horpe,Richard Horpe
Morrec,Morrec
Willem-Lannister,Willem Lannister
Softfoot,Softfoot
Symon-Silver-Tongue,Symon Silver Tongue
Urzen,Urzen
Merrett-Frey,Merrett Frey
Torwold-Browntooth,Torwold Browntooth
Lyonel-Corbray,Lyonel Corbray
Rodrik-Sparr,Rodrik Sparr
Myranda-Royce,Myranda Royce
Trystane-Martell,Trystane Martell
Yezzan-zo-Qaggaz,Yezzan zo Qaggaz
Ralf-Stonehouse,Ralf Stonehouse
Quill,Quill
Rosey,Rosey
Sweets,Sweets
Shortear,Shortear
Ragwyle,Ragwyle
Xhondo,Xhondo
Yellow-Dick,Yellow Dick
Rollam-Westerling,Rollam Westerling
Torbert,Torbert
Steffon-Baratheon,Steffon Baratheon
Rugen,Rugen
Rhaella-Targaryen,Rhaella Targaryen
Rolph-Spicer,Rolph Spicer
Tristifer-IV-Mudd,Tristifer IV Mudd
Walda-Frey-(daughter-of-Merrett),Walda Frey (daughter of Merrett)
Theobald,Theobald
Ulf-son-of-Umar,Ulf son of Umar
Theomore,Theomore
William-Foxglove,William Foxglove
Werlag,Werlag
Willow-Witch-eye,Willow Witch eye
Wulfe,Wulfe
